City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Bilma,NE,86.56,clear sky,18.6853,12.9164,Expeditions Ténére voyages
261,Havelock,US,76.95,scattered clouds,34.8791,-76.9013,Sherwood Motel
266,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
268,Lakhipur,IN,88.27,few clouds,26.0299,90.3041,Rajdhani Hotel
269,Pangai,TO,79.79,few clouds,-19.8,-174.35,Ha'apai Beach Resort
273,Srivardhan,IN,85.33,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
283,Sabancuy,MX,82.51,few clouds,18.9667,-91.1833,pulpo
289,Fare,PF,80.46,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
290,Nurota,UZ,84.29,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
294,Salinopolis,BR,77.74,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
297,Katsuura,JP,78.24,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
298,Mandera,KE,77.36,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
299,Houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
300,Alofi,NU,79.81,moderate rain,-19.0595,-169.9187,Taloa Heights
301,High Rock,BS,78.84,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
303,Gashua,NG,81.34,clear sky,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
309,Ixtapa,MX,79.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
312,Asyut,EG,75.47,scattered clouds,27.180999999999997,31.1837,Florence Hotel Assiut
319,Puerto Cabezas,NI,77.9,overcast clouds,14.0351,-83.3888,Cabaña Caribe
324,Vega De Alatorre,MX,80.8,few clouds,20.0333,-96.6333,El Polo Norte
325,Bubaque,GW,77.74,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
326,Manokwari,ID,84.99,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
327,Honiara,SB,83.62,broken clouds,-9.4333,159.95,Heritage Park Hotel
328,San Policarpo,PH,83.34,moderate rain,12.1791,125.5072,JM Lodge
333,Sweetwater,US,81.01,scattered clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
337,San Patricio,US,77.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
342,Maragogi,BR,75.04,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
348,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,Kost Pria
350,Palembang,ID,80.69,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
351,Kelamangalam,IN,82.87,overcast clouds,12.6,77.85,Edu City
353,Shangrao,CN,78.51,broken clouds,28.4532,117.9686,Boyue boutique Hotel
357,Carutapera,BR,75.16,few clouds,-1.195,-46.02,Lidera
359,Kabrai,IN,87.57,clear sky,25.4167,80.0167,Bharat concrete Udyog
360,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
362,Pingxiang,CN,78.66,light rain,27.6167,113.85,Haiyuntian Hotel
369,Komsomolskiy,UZ,80.02,clear sky,40.4272,71.7189,Ikathouse
371,Sur,OM,89.42,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
373,Butte,US,82.56,clear sky,39.6499,-121.5677,Meadowbrook Oak's RV and Mobile Home Park
384,Portland,US,77.59,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
388,Catuday,PH,84.72,overcast clouds,16.2923,119.8062,GResort
393,Akdepe,TM,87.8,clear sky,42.0551,59.3788,Мой дом
394,Kirakira,SB,79.93,light rain,-10.4544,161.9205,SanBiz Lodge
396,Puerto Escondido,MX,83.35,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
397,Kloulklubed,PW,81.97,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
405,Atar,MR,86.94,overcast clouds,20.5169,-13.0499,Oumou Elghoura
406,Harlingen,US,80.78,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
407,Cairns,AU,79.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
410,Laguna,US,80.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
412,Jiaocheng,CN,84.07,overcast clouds,24.6774,116.1389,Changtan Tourism Resort
413,Rio Rancho,US,82.49,clear sky,35.2334,-106.6645,Hilton Garden Inn Albuquerque North/Rio Rancho
414,Korla,CN,79.66,broken clouds,41.7597,86.1469,Gulisitan Hotel
417,Sao Jose Da Coroa Grande,BR,75.45,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
418,Mucurapo,TT,80.26,clear sky,10.6667,-61.5333,Courtyard by Marriott Port of Spain
423,Sabang,ID,82.42,overcast clouds,5.8933,95.3214,Hotel Citra
426,Kailua,US,80.58,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
428,Buchanan,LR,78.73,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
431,Sira,IN,79.45,few clouds,13.7453,76.9092,Sri Venkateshwara Lodge
434,Sarangani,PH,83.97,overcast clouds,5.4033,125.4636,Ballistic Islet
439,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
440,Kandrian,PG,81.59,light rain,-6.2167,149.55,Kandrian Station
441,Delano,US,86.58,clear sky,35.7688,-119.24700000000001,"Holiday Inn Express Delano Hwy 99, an IHG Hotel"
442,Samana,DO,75.49,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
446,Siva,EG,79.3,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
449,Pundaguitan,PH,82.89,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
453,Isangel,VU,75.45,overcast clouds,-19.55,169.2667,Tanna Lodge
454,Bouna,CI,76.44,broken clouds,9.2667,-3.0,Hotel Reserve
460,Kendari,ID,87.24,broken clouds,-3.945,122.4989,Hotel Wixel
461,Auki,SB,81.28,overcast clouds,-8.7676,160.7034,Auki Motel
463,Coahuayana,MX,76.53,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
465,Muli,MV,83.95,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
476,Vieux Fort,LC,79.92,few clouds,13.7167,-60.95,QR Quality Rooms Cedar Palm Villa
481,Kralendijk,BQ,80.58,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
484,Zhangye,CN,82.04,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
