City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Ostrovnoy,RU,68.0531,39.5131,36.63,81,85,15.59,overcast clouds
178,Ucluelet,CA,48.9329,-125.5528,67.08,75,89,1.99,overcast clouds
179,Norman Wells,CA,65.282,-126.8329,39.18,70,99,5.88,overcast clouds
180,Oriental,MX,19.3667,-97.6167,61.36,78,89,6.38,overcast clouds
181,Mahibadhoo,MV,3.7833,72.9667,83.77,72,66,20.11,broken clouds
182,Provideniya,RU,64.3833,-173.3,47.01,43,0,6.17,clear sky
183,Wakkanai,JP,45.4094,141.6739,42.1,94,100,19.95,overcast clouds
184,Wewak,PG,-3.5534,143.6268,83.5,77,100,8.79,overcast clouds
185,Progreso,MX,21.2833,-89.6667,82.51,83,5,12.53,clear sky
186,Nagamangala,IN,12.8156,76.7575,74.89,70,74,10.85,broken clouds
187,Pingliang,CN,35.5392,106.6861,83.48,19,19,3.65,few clouds
188,Barrow,US,71.2906,-156.7887,28.42,93,90,10.36,overcast clouds
189,Zyryanka,RU,65.75,150.85,62.69,34,3,20.85,clear sky
190,Junction City,US,39.0286,-96.8314,56.8,83,1,1.99,clear sky
191,Caravelas,BR,-17.7125,-39.2481,73.65,91,10,5.73,clear sky
192,Souillac,MU,-20.5167,57.5167,74.35,87,6,7.38,clear sky
193,Mercedes,AR,-34.6515,-59.4307,46.02,66,100,6.44,overcast clouds
194,Labuhan,ID,-6.8844,112.2051,85.23,66,83,2.55,broken clouds
195,Buraydah,SA,26.326,43.975,86.02,16,0,7.92,clear sky
196,Shu,KZ,43.5983,73.7614,77.23,41,79,4.52,broken clouds
197,Saint-Francois,FR,46.4154,3.9054,47.68,83,0,0.0,clear sky
198,Sistranda,NO,63.7256,8.834,47.89,84,10,6.93,clear sky
199,Mackay,AU,-21.15,149.2,73.69,76,49,18.59,scattered clouds
200,Tchollire,CM,8.4022,14.1698,76.53,62,86,3.58,overcast clouds
201,Charters Towers,AU,-20.1,146.2667,75.06,46,29,12.62,scattered clouds
202,Povenets,RU,62.8487,34.8262,38.52,71,8,5.01,clear sky
203,Henties Bay,NA,-22.116,14.2845,55.85,91,80,7.45,broken clouds
204,Kaspiyskiy,RU,45.3929,47.3707,74.95,56,55,8.41,broken clouds
205,Gladstone,AU,-23.85,151.25,76.78,35,94,12.66,overcast clouds
206,Nanortalik,GL,60.1432,-45.2371,35.56,98,100,6.46,light rain
207,Verkhnyaya Inta,RU,65.9811,60.3094,40.75,52,100,11.01,overcast clouds
208,Makakilo City,US,21.3469,-158.0858,78.69,64,69,4.74,broken clouds
209,San Juan,AR,-31.5375,-68.5364,62.73,49,0,4.76,clear sky
210,Boralday,KZ,43.3578,76.8594,71.46,56,40,4.29,scattered clouds
211,Tucurui,BR,-3.7661,-49.6725,76.19,79,85,3.22,overcast clouds
212,Toora-Khem,RU,52.4675,96.11,43.39,52,100,9.73,overcast clouds
213,Atambua,ID,-9.1061,124.8925,82.42,54,87,2.33,overcast clouds
